Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference,County
22,Chop Robinson,"Gaithersburg, MD",Edge,6 ft 3 in,220,Maryland,2021,Big Ten,Unknown
23,Sam Huard,"Bellevue, WA",QB,6 ft 2 in,190,Washington,2021,Pac-12,Unknown
24,Drake Maye,"Charlotte, NC",QB,6 ft 5 in,210,North Carolina,2021,ACC,Unknown
25,Jason Marshall,"Miami, FL",CB,6 ft 2 in,180,Florida,2021,SEC,Unknown
26,Terrion Arnold,"Tallahassee, FL",S,6 ft 0 in,180,Alabama,2021,SEC,Unknown
27,Ja'Corey Brooks,"Bradenton, FL",WR,6 ft 3 in,185,Alabama,2021,SEC,Manatee County
28,Keeshawn Silver,"Rocky Mount, NC",DL,6 ft 6 in,275,North Carolina,2021,ACC,Unknown
29,Deontae Lawson,"Mobile, AL",LB,6 ft 3 in,225,Alabama,2021,SEC,Unknown
30,Ja'Tavion Sanders,"Denton, TX",ATH,6 ft 3.5 in,235,Texas,2021,Big 12,Unknown
31,Maason Smith,"Houma, LA",DL,6 ft 5 in,316,LSU,2021,SEC,Unknown
32,Kingsley Suamataia,"Orem, UT",OT,6 ft 5 in,280,Oregon,2021,Pac-12,Unknown
33,Donovan Edwards,"West Bloomfield, MI",RB,5 ft 11 in,190,Michigan,2021,Big Ten,Unknown
1,Bryce Young,"Santa Ana, CA",DUAL,5 ft 11 in,183,Alabama,2020,SEC,Unknown
2,DJ Uiagalelei,"Bellflower, CA",PRO,6 ft 4.5 in,246,Clemson,2020,ACC,Unknown
3,Bryan Bresee,"Damascus, MD",DT,6 ft 5 in,290,Clemson,2020,ACC,Unknown
4,Julian Fleming,"Catawissa, PA",WR,6 ft 2 in,199,Ohio State,2020,Big Ten,Unknown
5,Will Anderson,"Hampton, GA",WDE,6 ft 3 in,230,Alabama,2020,SEC,Unknown
6,Gervon Dexter,"Lake Wales, FL",DT,6 ft 6.5 in,286,Florida,2020,SEC,Unknown
7,Kelee Ringo,"Scottsdale, AZ",CB,6 ft 2 in,205,Georgia,2020,SEC,Unknown
